id,brand_name,product_link,product_name,product_category,product_type,product_price,discounted_price,price_unit,price_usd,product_description,fabric_composition,product_image,product_image_aws,country,created_at,updated_at,created_year
2177479,H&M,https://www2.hm.com/tr_tr/productpage.1213942004.html,CURVY FIT WIDE HIGH CROPPED JEANS,Women,Jeans,1129,,TRY,33,"Explanation
5- pocket trousers made of slightly stretchy cotton denim for comfort. It is designed so that there is not much space in the waist and there is more room in the hips and upper legs , with a cut that emphasizes the curves. Wide legs , regular cut from waist to hips , wide cut from upper legs to hems. High waist with zip fly and buttons. It is designed in a short length to end above the anklebone and show off the wrist. It's a roomy silhouette that always looks nice.
Item No.:: 1213942004
Model size : Model height : 175 cm /5'9"" Size : 42
Length : ankle length
Waist Height : high waisted
Cut : regular cut
Style : Wide
Explanation : Black , Solid color
Concept : DENIM

materials
PRODUCT CONTENT
Outer layer : Cotton 99%, Elastane 1%
Pocket lining : Polyester 65%, Cotton 35%
Additional material information
The total weight of this product includes : 19% recycled cotton
These weights do not include small components such as thread , buttons , zippers , decorations and printing.
The total weight of the product is calculated by adding up the weight of all layers and main components. Based on this , we calculate how much of this weight each ingredient makes up. For calculations for sets and multipacks , all items are counted together as a single item.
Material : Pamuk , Kot
The ingredients in this product are described
Elastane
Elastane is an elastic synthetic fiber made from petroleum ( a fossil source ).
recycled cotton
Recycled cotton is cotton obtained from textile waste in production or textile waste that has reached the end of its useful life. The waste is mechanically recycled and turned into new yarn.
Cotton
Cotton is a soft and versatile natural fiber harvested from the cotton plant.
Polyester
Polyester is a synthetic fiber made from crude oil ( a fossil source ).

",80.0% cotton 19.0% piw 1.0% elastane,https://image.hm.com/assets/hm/80/ab/80ab79499a8afcc6dde4613e93aba0b928a8b71e.jpg?imwidth=2160,https://brandsdata.s3.us-east-2.amazonaws.com/2177479.jpg,TURKEY,11-11-2024 05:57,05-12-2024 15:19,2024
2195289,WRANGLER,https://www.wrangler.in/products/8905409641668,MEN BROWN SKANDERS SLIM FIT LOW RISE JEANS,Men,Jeans,3999,1999,INR,47,"These Unique Rust Colored Skanders Jeans From Wrangler Are A Must-Have For Any Man Who Wants To Look Stylish And On-Trend. Made From A 98 Cotton And 2 Elastane Blend , They Are Comfortable And Durable. The Slim Fit And Low Waist Make Them Perfect For A Casual Day Out. Team Them With A Polo T-Shirt And Sneakers For A Trendy Outfit.
Brand Wrangler
Gender Men
Pattern Solid
Parent Color Brown
Fit Slim Tapered
Material 98 Cotton , 2 Elastane
Product Type Jeans
Closure Type Button And Zip
Fit Name Skanders
Waist Rise Low Rise
Distress Clean Look
Fade No Fade
Shade Coloured
Stretch Stretchable


",98.0% cotton 2.0% elastane,https://static.aceomni.cmsaceturtle.com/prod/product-image/aceomni/Wrangler/Monobrand/WMJN006686/WMJN006686_1.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/2195289.jpg,INDIA,10-12-2024 07:16,24-12-2024 12:00,2024
2166016,ASOS,https://www.asos.com/hollister/hollister-low-rise-relaxed-straight-fit-jeans-with-knee-rips-in-mid-blue/prd/206971998,HOLLISTER LOW RISE RELAXED STRAIGHT FIT JEANS WITH KNEE RIPS IN MID BLUE,Women,Jeans,45.95,34.5,GBP,59,"product
Description : Jeans by Hollister ,, Denim days on repeat ,, Relaxed fit ,, Straight leg ,, Low rise ,, Belt loops ,, Five pockets ,, Ripped knees ,
brand
Description : Inspired by beaches , blue skies and sunshine , Southern California label Hollister champions an endless summer. Never taking itself too seriously , its laid-back style is infused with surf and skate culture , making every T-shirt , maxi dress and skater skirt effortlessly cool.
badges : size
And
Fit : Model's height : 169 cm /5'5.5"", Model is wearing : 3 R-W 26 Regular
about
Me : Non-stretch denim : mid-blue wash ,, Main : 98% Cotton , 2% Elastane.
Product Code : 136983701


",98.0% cotton 2.0% elastane,https://images.asos-media.com/products/hollister-low-rise-relaxed-straight-fit-jeans-with-knee-rips-in-mid-blue/206971998-1-midwash?$n_1920w$&wid=1926&fit=constrain,https://brandsdata.s3.us-east-2.amazonaws.com/2166016.jpg,UK,11-11-2024 05:57,05-12-2024 15:12,2024
2214053,LEVI STRAUSS AND CO.,https://www.levi.com.cn/product/A9188-0000.html,LEVI'S WOMEN'S STRAIGHT-LEG WIDE-LEG JEANS,Women,Jeans,1299,1104,CNY,179,"The jeans use Opti metal zipper fly , reinforced seams at the trouser legs , double horse branding on the back waist , loose fit , simple and elegant , comfortable and comfortable
Composition ::>>100% cotton


",100.0% cotton,https://img.ibaiqiu.com/applet-upload/1726736804-215-A9188-0000-000-726TH.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/2214053.jpg,CHINA,10-12-2024 15:12,24-12-2024 12:18,2024
793117,LEVI STRAUSS AND CO.,https://www.levi.com.cn/product/67505-0130.html?colorCode=%E6%B7%B1%E8%93%9D%E8%89%B2,LEVI'S® LVC SERIES 1967 505™ LOW-RISE SLIM STRAIGHT JEANS,Men,Jeans,2199,,CNY,303,"Series : LEVI'S® VINTAGE CLOTHING ( LVC ) reproduces the tailoring , fabrics and details of the past , faithfully telling the spirit of American culture. Over the past 150 years , the United States has embraced the collision and changes of various cultures , and Levi's® has always stood at the center of it all. Today , LEVI'S® LVC is inspired by the historical events and culture of a specific period to create products for each season , taking you to relive these precious years : surfing on the California beaches in the 1940 s , participating in the space race in the 1950 s , or participating in the space race in the 1950 s. It is to watch a movie "" ROCKERS "" from the 1970 s... It is so lifelike that it reminds people where they come from and where they are going. What a great thing , a great 150 th anniversary. In the spring and summer of 2023, the LEVI'S® LVC series is inspired by Levi's® and Jacob Davis's stud reinforcement patent to restore the legendary beginning of denim.

Description : • 14 oz jean denim • Hidden stud design • Double playing cards • Double-sided large “E” red flag • Double-needle double-arc pocket flower design • Made in Japan
In different sales channels or platforms , due to different promotions , the final selling price may be different. Please refer to the channel where you purchased for the specific price. The underlined price is the product tag price.

",error: no composition,https://img.ibaiqiu.com/applet-upload/desc_1680511083526621.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/793117.jpg,CHINA,14-11-2023 12:02,15-03-2024 06:53,2023
1641681,C & A BUYING GMBH & CO. KG,https://www.c-and-a.com/eu/en/shop/straight-jeans-high-waist-2186927/2,STRAIGHT JEANS-HIGH WAIST,Women,Jeans,29.99,,EURO,32,"Fabric Composition : 97% Cotton 3% Elastane
Product description
Straight leg jeans in stretch denim with two side slash pockets and two patch back pockets.
Inside leg approx. 61 cm in size 36
Hem width approx. 50 cm in size 36
Model : 180 cm , wearing size 36 ( EU )
Size chart
Closure : with button closure & with zip
Collection : Casual
Design : plain
Leg shape : Straight , straight cut with flared leg
Length : Crop
Rise : high rise / high cut / high waist
Brand : C & A
Item number : 2186927
Material
Trousers
Outer material : 97% Cotton , 3% Elastane
Care : Wash at 40ø


",97.0% cotton 3.0% elastane,"https://www.c-and-a.com/img/product/q_auto:good,b_rgb:FAFAFA,c_scale,w_1080/v1667493380/productimages/2186927-2-01.jpg",https://brandsdata.s3.us-east-2.amazonaws.com/1641681.jpg,GERMANY,22-06-2024 08:49,29-06-2024 09:04,2024
849080,H&M,https://www2.hm.com/en_au/productpage.1101656001.html,STRAIGHT REGULAR JEANS,Women,Jeans,106.61,,AUD,70,"5- pocket jeans in heavy cotton denim. Featuring a regular waist , button fly and straight legs.
Article number : 1101656001
Length : Long
Waist Rise : Regular waist
Fit : Regular fit
Style : Straight leg
Description : Denim blue , Solid colour
Concept : H & M EDITIONComposition
Cotton 64%, Lyocell 36%
Additional material information
The total weight of this product contains : 43% Recycled cotton
34% Tencel™ Lyocell x REFIBRA™
18% Organic cotton
2% Recycled polyester
We exclude the weight of minor components such as , but not exclusively : threads , buttons , zippers , embellishments and prints.
The total weight of the product is calculated by adding the weight of all layers and main components together. Based on that , we calculate how much of that weight is made out by each material. For sets & multipacks all pieces are counted together as one product in calculations.
Material : Denim
Materials in this product explained
Cotton
Cotton is a soft and versatile natural fibre harvested from the cotton plant.
Lyocell
Lyocell is a regenerated cellulose fibre commonly made from wood , but the raw material could also consist of other cellulosic materials.
Organic cotton
Organic cotton is cotton grown without the use of artificial pesticides or fertilisers and contains no genetically modified organisms ( GMOs ).
Recycled cotton
Recycled cotton is cotton made from textile waste in production or from end-of-life textile waste. The waste is mechanically recycled and spun into new yarn.
Recycled polyester
Recycled polyester is polyester made from PET bottles or end-of-life textile waste. The PET bottles or textile waste is mechanically recycled and processed into new yarn.
Tencel™ Lyocell x REFIBRA™
TENCEL™ Lyocell x REFIBRA™ is a regenerated cellulose fibre made from recycled cotton production waste and wood pulp. It is produced in a closed-loop process where chemicals are reused.


",43.0% piw 36.0% lyocell 34.0% tencel 33.0% cotton 18.0% organic_cotton 2.0% recycled_polyester,https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F8c%2Fe1%2F8ce1783e84be189f80a19e26a730cf062f8e9ca3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BDESCRIPTIVESTILLLIFE%5D%2Cres%5Bm%5D%2Chmver%5B2%5D&call=url[file:/product/main],https://brandsdata.s3.us-east-2.amazonaws.com/849080.jpg,AUSTRALIA,11-12-2023 15:13,03-09-2024 08:10,2023
1651115,G-STAR,https://www.g-star.com/en_nl/shop/women/jeans/d05175-c619-071,3301 SKINNY JEANS,Women,Jeans,71.97,,EURO,77,"3301
Metal Clip
Shape Enhancing
Pocket Placement
Seam Position
The 3301 is a classic 5- pocket jean in a modernized , flattering construction. Extensive research into how to give the wearer maximum enhancement is applied in this style , from careful seam placements to the perfectly shaped back pocket ? the 3301 is a true wardrobe staple.
See all 3301 jeans for women
features
Features
The G-Star 3301 skinny jeans feature a classic 5- pocket construction inspired by authentic Western jeans. This jean has a zip fly.
Skinny Fit
High waist
5 pockets
Thigh from waist to hem
Zip fly
Cow grain leather G-Star RAW label at the back waist
material
Material
Olto Pure Superstretch
A stretch denim with an authentic denim character and pure indigo shade.
Mid weight denim
3 x 1 right hand twill construction
98% Cotton , 2% LYCRA ? Elastane
By buying cotton products from G-Star Raw , you're supporting more sustainable cotton farming through the Better Cotton Initiative. Better Cotton is sourced via a system of Mass Balance. Find out more about our sustainable materials ""
about our sustainable materials
.?
The LYCRA ? fibers we use are high performance stretch fibers which hold a Gold Level Material Health Certificate from the Cradle to Cradle Products Innovation Institute.
Medium Aged
Medium shade of indigo finished with soft fades.
Where is it made ?
Washing Instructions
30øC normal process
Do not bleach
Do not tumble dry
Medium temperature iron 150øC
Dry cleaning tetrachloride , normal process
Line drying in the shade
Wash inside out , Wash separately or with similar colours , Do not iron print , trims and accessories , Contains non-textile parts of animal origin
Art nr : d 05175- c 619-071
responsible materials ranking
RESPONSIBLE MATERIALS RANKING
LYCRA ? elastane
2%
Cotton
98%
Lowest
Highest
Environmental Impact
It is our ambition to continuously improve the environmental impact of our products. This overview displays the composition of this garment and ranks the fibers ( in the main fabric of the garment ) according to their environmental impact. The categories were defined by combining existing industry tools and scoring mechanisms.
Learn more
the LYCRA ? fibers we use are high performance stretch fibers which hold a Gold Level Material Health Certificate from the Cradle to Cradle Products Innovation Institute.
By choosing products that contain Cotton ( BCI ), you are supporting the Better Cotton Initiative ? s mission to help cotton communities survive and thrive , while protecting and restoring the environment. BCI applies a mass balance system , which means that the cotton is mixed with conventional cotton in a complex supply chain. Because the end product may therefore not actually contain Better Cotton , we choose not to rank it.


",98.0% cotton 2.0% lycra,"https://img1.g-star.com/product/c_fill,f_auto,h_1080,q_80/v1708076149/D05175-C619-071-M01/g-star-raw-3301-skinny-jeans-medium-blue.jpg",https://brandsdata.s3.us-east-2.amazonaws.com/1651115.jpg,NETHERLANDS,24-06-2024 11:03,29-06-2024 08:58,2024
1022911,WRANGLER,https://www.wrangler.in/men/jeans/skinny-blue-8905409512678,WRANGLER MEN'S VEGAS BLUE JEANS ( SKINNY ),Men,Jeans,3499,2449,INR,42,"Style Note
These versatile Wrangler jeans are made from a cotton and elastane blend designed for both lounging and easy movement. The blue mid wash lends a classic look that will suit any casualwear outfit. Wear them with a graphic t-shirt and sneakers for a laid-back vibe.
Features
Material
99% Cotton , 1% Elastane
Pocket Type
Scoop Pocket
Number of Pockets
5
Closure Type
Button and Zip
Length
Regular Length
Fit
Skinny
Fit Name
Vegas
Waist Type
Low Rise
Fade
Light Fade
Distress
Clean Look
Medium
Story
Meta N
Sub Story
META N
Additional Details
Country of Origin : India
Manufactured By : M / S. Punit Creation , Unit 2, Sy. No 94, Archanahali Village , Kasaba Hobli , Ramnagara Taluk , Karnataka , INDIA. Pincode : 562159
Marketed By : Ace Turtle Omni Private Limited
Customer Care No : 9663601024


",99.0% cotton 1.0% elastane,https://static.aceomni.cmsaceturtle.com/prod/product-image/aceomni/Wrangler/Monobrand/WMJN005748/WMJN005748_1.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/1022911.jpg,INDIA,15-02-2024 06:59,15-03-2024 06:53,2024
638356,GAP,https://www.gap.com/browse/product.do?pid=654813002&vid=1&&searchText=womens%20denim%20shorts,EASY DENIM ROMPER,Women,Bodysuit,69.95,54.99,USD,70,"Fit & Sizing
Straight silhouette with a relaxed fit.
Hits at mid thigh.
Models wearing Gap size S are 5'8""–5'11"" (172–180 cm ) with 23.5–26"" (60–66 cm ) waist & 33–38"" (84–97 cm ) hips.
Models wearing Gap size XL are 5'8""–5'11"" (172–180 cm ) with 34–36” (86–91 cm ) waist & 45–50"" (114–127 cm ) hips.
product details
Smooth No Stretch denim romper. Authentic denim that gets better with every wear. Made to wear all day & break in over time.?
Spread collar.
Short sleeves.
Button front , zip fly.
Belted waist.
Front slant pockets.
Pleating at front.
Back patch pockets.
#654813
fabric & care
Cotton 100%
Machine wash.
Imported.


",100.0% cotton,https://www.gap.com/webcontent/0053/391/020/cn53391020.jpg,https://brandsdata.s3.us-east-2.amazonaws.com/638356.jpg,USA,23-08-2023 10:48,15-03-2024 06:53,2023
